ВО	ВЫСШЕГО ОБРАЗОВАНИЯ
СО	СИБИРСКОГО ОТДЕЛЕНИЯ
ГПС	ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ
ФГОБУ	ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО ОБРАЗОВАТЕЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ
ФГОБУ	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ
ФГОУ	ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
ФГОУ	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
УРАО	УНИВЕРСИТЕТ РОССИЙСКОЙ АКАДЕМИИ ОБРАЗОВАНИЯ
АО	АКЦИОНЕРНОЕ ОБЩЕСТВО
ЧОУ	ЧАСТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
ЧОУВО	ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
РГТЭУ	РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ ТОРГОВО-ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ
МПСУ	МОСКОВСКИЙ ПСИХОЛОГО-СОЦИАЛЬНЫЙ УНИВЕРСИТЕТ
ЮРГУЭС	ЮЖНО-РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ И СЕРВИСА
ЧОУ	ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
ГБУЗ	ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ
РАО	РОССИЙСКОЙ АКАДЕМИИ ОБРАЗОВАНИЯ
МГОУ	МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ОТКРЫТЫЙ УНИВЕРСИТЕТ
ГУМФ	ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ МИНИСТЕРСТВА ФИНАНСОВ
МОУ	МУНИЦИПАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
ЮУПИ	ЮЖНО-УРАЛЬСКИЙ ПРОФЕССИОНАЛЬНЫЙ ИНСТИТУТ
МОСА	МОСКОВСКАЯ ОТКРЫТАЯ СОЦИАЛЬНАЯ АКАДЕМИЯ
ФГАУ	ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО АВТОНОМНОГО УЧРЕЖДЕНИЯ
ГКОУ	ГОСУДАРСТВЕННОГО КАЗЕННОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
ПКБ	ПСИХИАТРИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА
МИГУП	МОСКОВСКИЙ ИНСТИТУТ ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ И ПРАВА
СЗАГС	СЕВЕРО-ЗАПАДНАЯ АКАДЕМИЯ ГОСУДАРСТВЕННОЙ СЛУЖБЫ
ДО	ДАЛЬНЕВОСТОЧНОГО ОТДЕЛЕНИЯ
СГСЭУ	САРАТОВСКИЙ ГОСУДАРСТВЕННЫЙ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ
РФ	РОССИЙСКОЙ ФЕДЕРАЦИИ
МГАВТ	МОСКОВСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ ВОДНОГО ТРАНСПОРТА
НОЧУ	НЕГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ ЧАСТНОЕ УЧРЕЖДЕНИЕ
НАЧОУВО	НЕГОСУДАРСТВЕННОЕ АККРЕДИТОВАННОЕ ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
ГБУ	ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ
МГУПИ	МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПРИБОРОСТРОЕНИЯ И
ГБОУ	ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
СКАГС	СЕВЕРО-КАВКАЗСКАЯ АКАДЕМИЯ ГОСУДАРСТВЕННОЙ СЛУЖБЫ
ООВО	ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ
ОУ	ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
СКИ	САРАНСКИЙ КООПЕРАТИВНЫЙ ИНСТИТУТ
МСГИ	МОСКОВСКИЙ СОЦИАЛЬНО-ГУМАНИТАРНЫЙ ИНСТИТУТ
МИПП	МОСКОВСКИЙ ИНСТИТУТ ПРЕДПРИНИМАТЕЛЬСТВА И ПРАВА
ГАОУ	ГОСУДАРСТВЕННОГО АВТОНОМНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
ГОУ	ГОСУДАРСТВЕННОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
СГУГИТ	СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ГЕОСИСТЕМ И ТЕХНОЛОГИЙ
ФГОУВПО	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ
ПАГС	ПОВОЛЖСКАЯ АКАДЕМИЯ ГОСУДАРСТВЕННОЙ СЛУЖБЫ
ИДК	ИНСТИТУТ ДЕЛОВОЙ КАРЬЕРЫ
АМИ	АКАДЕМИЧЕСКИЙ МЕЖДУНАРОДНЫЙ ИНСТИТУТ
ГБОУ	ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
МОУ	МУНИЦИПАЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
МГТУ	МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ
ГА	ГРАЖДАНСКОЙ АВИАЦИИ
ДПО	ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ
ФГУП	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ
ОАНО	ОБРАЗОВАТЕЛЬНОЙ АВТОНОМНОЙ НЕКОММЕРЧЕСКОЙ ОРГАНИЗАЦИИ
ИДНК	ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА
САПЭУ	СИБИРСКАЯ АКАДЕМИЯ ПРАВА, ЭКОНОМИКИ И УПРАВЛЕНИЯ
ЮФУ	ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ
ФГБУ	ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ
РАНХИГС	РОССИЙСКАЯ АКАДЕМИЯ НАРОДНОГО ХОЗЯЙСТВА И ГОСУДАРСТВЕННОЙ СЛУЖБЫ
НПО	НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ
РМАТ	РОССИЙСКАЯ МЕЖДУНАРОДНАЯ АКАДЕМИЯ ТУРИЗМА
ОРАГС	ОРЛОВСКАЯ РЕГИОНАЛЬНАЯ АКАДЕМИЯ ГОСУДАРСТВЕННОЙ СЛУЖБЫ
ЦНИИП	ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И ПРОЕКТНЫЙ
НИЦ	НАЦИОНАЛЬНОГО ИССЛЕДОВАТЕЛЬСКОГО ЦЕНТРА
МАИ	МОСКОВСКИЙ АВИАЦИОННЫЙ ИНСТИТУТ
ЦНИИ	ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ
ИПСА	ИВАНОВСКАЯ ПОЖАРНО-СПАСАТЕЛЬНАЯ АКАДЕМИЯ
