МАОУООШ	МАОУ ООШ
Примор-ского	Приморского
каённое	казённое
муниципального округ	муниципального округа
Влдивостока	Владивостока
изучением отдельным	изучением отдельных
от-дельных	отдельных
учреждениею	учреждение
учреждене	учреждение
Ммуниципальное	муниципальное
Калинграда	Калининграда
Калининрада	Калининграда
Стальскогорайона	Стальского района
каазенное	казенное
Муниципальне	Муниципальное
Респеублики	Республики
райрна	района
Кизилюртагимназия	Кизилюрта гимназия
Муниципальное бюджетная общеобразовательная 	муниципальная бюджетная общеобразовательная
центримени	центр имени
Хангаласскийулус	Хангаласский улус
ХетагуроваМБОУ	Хетагурова МБОУ
бюджетноеобщеобразователное	бюджетное общеобразовательное
Округагород	Округа город
Рузаевкого	Рузаевского
отдельным предметов	отдельных предметов
учреждениеМарьяновская	учреждение Марьяновская
Клмыкия	Калмыкия
общеобразовательная кола	общеобразовательная школа
256ГОРОДСКОГО	256 городского
Изучениемотдельных	Изучением отдельных
Мунипального	Муниципального
общеобразовательное бюджетноу	общеобразовательное бюджетное
Муниципально общеобразовательное	муниципальное общеобразовательное
общеобразовательнаое	общеобразовательное
образовательное автономное учреждения	образовательное автономное учреждение
Учреждениеархангельской	Учреждение Архангельской
учреждениеЛенинградской	учреждение Ленинградской
филиалФедерального	филиал Федерального
Федеральногогосударственного	Федерального государственного
казеённое	казенное
Муниципальное бюджетно	Муниципальное бюджетное
Учреждениевысшего	учреждение высшего
Казенноеобщеобразовательноеучреждение	казенное общеобразовательное учреждение
Бюджетноеобщеобразовательноеучреждение	бюджетное общеобразовательное учреждение
бюджетное общеобразовательная учреждение	бюджетное общеобразовательное учреждение
Автономноепрофессиональноеобразовательное	автономное профессиональное образовательное
Бюджетногообщеобразовательногоучреждения	бюджетного общеобразовательного учреждения
общеобразовательнаяорганизация	общеобразовательная организация
бюджетное общеобразовательно	бюджетное общеобразовательное
некоммерческая общеобразовательное	некоммерческая общеобразовательная
общеобразовательноре	общеобразовательное
учреждениеПравославная	учреждение Православная
учреждениеПривольненская	учреждение Привольненская
Муниципальное автомное	Муниципальное автономное
учреждениеПожеревицкая	учреждение Пожеревицкая
учреждениеНововыслинская	учреждение Нововыслинская
учреждеение	учреждение
Учреждениепограничная	Учреждение пограничная
учреждениеМногопрофильный	учреждение Многопрофильный
арйон	район
общеобраовательное	общеобразовательное
учреждениеМугайская	учреждение Мугайская
нетиповоеобщеобразовательное	нетиповое общеобразовательное
общеоберзовательное	общеобразовательное
общеобразовпательное	общеобразовательное
общеобразоваельное	общеобразовательное
бразовательное	образовательное
Ольгинскогорайона	Ольгинского района
с.Новосысоевкаяковлевского	с.Новосысоевка Яковлевского
Сменнаяобщеобразовательная	Сменная общеобразовательная
Кавалеровскогомуниципального	Кавалеровского муниципального
Глубинноекрасноармейскогомуниципального	Глубинное красноармейского муниципального
Лукьяновкакрасноармейскогомуниципального	Лукьяновка красноармейского муниципального
Районаприморского	Района приморского
общеоборазовательная	общеобразовательная
вечернеесменное	вечернее сменное
1им	1 им
специальноекоррекционное	специальное коррекционное
школаСкопинского	школа Скопинского
БалашоваСаратовской	Балашова Саратовской
интернатреализующая	интернат реализующая
адаптированнын	адаптированные
учреждеждение	учреждение
Муниципальноеобразовательноеучреждение	Муниципальное образовательное учреждение
Средняяобщеобразовательнаяшкола	средняя общеобразовательная школа
БарабинскогорайонаНовосибирской	Барабинского района Новосибирской
ообщебразовательное	общебразовательное
общеобразоватлеьное	общеобразовательное
Школачерлакского	Школа Черлакского
учреждениеКамсакская	учреждение Камсакская
Районаомской	Района Омской
Учреждениешкола	учреждение школа
общеобразовательноео	общеобразовательное
уч-реждение	учреждение
Школапри	школа при
учреждекние	учреждение
автономноее	автономное
казеннное	казенное
412Петродворцового	412 Петродворцового
169Центрального	169 Центрального
16имени	16 имени
Администрациительмановского	Администрации Тельмановского
углубленнымизучением	углубленным изучением
Администрациистаробешевского	Администрации Старобешевского
общеобращовательноеучереждение	общеобращовательное учереждение
Государственноебюджетноеобщеобразовательноеучреждениелуганскойнароднойреспублики	Государственное бюджетное общеобразовательное учреждение луганской народной республики
бюджетрное	бюджетное
общеобразовательнаяя	общеобразовательная
общеобразоввательное	общеобразовательное
обшеобразовательная	общеобразовательная
Мунииципальное	Муниципальное
общеобразовательноеу	общеобразовательное
среднегополного	среднего полного
школаТомского	школа Томского
бюдежетное	бюджетное
учреждениеСушинская	учреждение Сушинская
учреждениеКовалинская	учреждение Ковалинская
учрежение	учреждение
Муницапальное	Мунициальное
муниципальног	муниципального
каенное	казенное
казённное	казённое
атономное	автономное
учреждние	учреждение
учреждениюе	учреждение
бюжетное	бюджетное
Школап.Тимофеевка	школа п.Тимофеевка
Школап.Моряк-Рыболов	школа п.Моряк-Рыболов
Учреждениежариковская	Учреждение Жариковская
общеообразовательная	общеобразовательная
общеобразовательное учреждени	общеобразовательное учреждение
общеобразовательное учреждению	общеобразовательное учреждение
средняя общеобразовательноя	 средняя общеобразовательная
Муниципальное общеобразовательной	муниципальное общеобразовательное
общеобраовательная	общеобразовательная
Общеобразователньое	общеобразовательное
образоватльное	образовательное
общеобарзовательное	общеобразовательное
учреждениеКомарская	учреждение Комарская
общеобоазовательная	общеобразовательная
общеобразоватлеьное	общеобразовательное
общеобразвоательная	общеобразовательная
Муниципальное образовательному учреждение	муниципальное образовательное учреждение
Муниципипальное	Муниципальное
Ульяяновской	Ульяновской
имент	имени
Общеобразовательноеучреждение	общеобразовательное учреждение
учреждениеЛУГАНСКОЙНАРОДНОЙ	учреждение Луганской Народной
округаСредняя	округа Средняя
Муниципальная общеобразовательное учреждение	муниципальное общеобразовательное учреждение
Муниципальное образовательная учреждение	муниципальное образовательное учреждение
Мунициапльное	Муниципальное
учреждениеСухобезводненская	учреждение Сухобезводненская
Казенноеучреждениеобщеобразовательнаяорганизация	казенное учреждение общеобразовательная организация
образоваельное	образовательное
учрежднение	учреждение
бюджетноое	бюджетное
Учреждениеюхаристальская	учреждение Юхаристальская
Каратинскаясредняя	Каратинская средняя
учреждениеЧишилинская	учреждение Чишилинская
ужреждение	учреждение
Казенноеучреждение	казенное учреждение
Зареченскаяосновная	Зареченская основная
Школаоктябрьского	Школа октябрьского
школаАпастовского	школа Апастовского
школаМеленковского	школа Меленковского
школаСолигаличского	школа Солигаличского
учреждениеПановская	учреждение Пановская
школаЖелезногорского	школа Железногорского
Проводниковскаяосновная	Проводниковская основная
школаУсть-Ишимского	школа Усть-Ишимского
Комиссаровскаяосновная	Комиссаровская основная
учрежденияЗаболотновской	учреждения Заболотновской
Учреждениесинельниковская	Учреждение Синельниковская
Полтавскаяосновная	Полтавская основная
Струговскаяосновная	Струговская основная
учреждениеШеморданский	учреждение 	Шеморданский
школаАлатырского	школа Алатырского
школаКанашского	школа Канашского
РеспубликиТатарстан	Республики Татарстан
казённоре	казённое
Муниципальльное	муниципальное
МуниципальноеобщеобразовательноеучреждениеАрхангельская	муниципальное общеобразовательное учреждение Архангельская
Муниципальноеобщеобразовательноеучреждение	муниципальное общеобразовательное учреждение
автонjмное	автономное
общеобразовательное учреждения	общеобразовательное учреждение
упреждение	учреждение
уреждение	учреждение
тучреждение	учреждение
учреждние	учреждение
учреждениеХарбинская	учреждение Харбинская
учреждениеМархинская	учреждение Мархинская
бюджетне	бюджетное
мунциипального	муниципального
школаИчалковского	школа Ичалковского
учреждениеНижнечирюртовская	учреждение Нижнечирюртовская
общеобразоватнльное	общеобразовательное
общнобразовательное	общеобразовательное
общеобразовательное учреждении	общеобразовательное учреждение
пос.Подъяпольскоешкотовского	пос.Подъяпольское Шкотовского
Учреждениесвердловской	Учреждение свердловской
Бюджетноепрофессиональноеобразовательное	бюджетное профессиональное образовательное
Частноеобразовательное	Частное образовательное
Учреждениепрофессиональногообразования	учреждение профессионального образования
Высшегопрофессионального	высшего профессионального
Некоммерческаяпрофессиональнаяобразовательная	некоммерческая профессиональная образовательная
Профессиональногообразования	профессионального образования
Профессиональнаяобразовательная	профессиональная образовательная
бюджетное профессионального образовательное	 бюджетное профессиональное образовательное
Образовательноеучреждение	образовательное учреждение
Североуральскийполитехникум	Североуральский политехникум
Многопрофильныйтехникум	Многопрофильный техникум
Радиотехническийколледж	Радиотехнический колледж
Карпинскиймашиностроительныйтехникум	Карпинский машиностроительный техникум
Нижнетагильскийгосударственныйпрофессиональный	Нижнетагильский государственный профессиональный
Колледжимени	колледж имени
Некоммерческаяпрофессиональнаяобразовательная	Некоммерческая профессиональная образовательная
Осударственное	государственное
2-Гавриловскои	2-Гавриловской
с.Орлов-Гаи	с.Орлов-Гай
Свободненскаясредняя	Свободненская средняя
Комсомльская	Комсомольская
с.Ивантеека	с.Ивантеевка
Общеобразовательская школа	общеобразовательная школа
Ешовского района	Ершовского района
с Шингак куль	с. Шингак-Куль
западно - Уральский	Западно-Уральский
Усть - Ургал	Усть-Ургал
Янга - аульская	Янга-Аульская
Улан - Удэ	Улан-Удэ
Усолье - Сибирское	Усолье-Сибирское
Петропавловск - Камчатского	Петропавловск-Камчатского
Соль - Илецка	Соль-Илецка
Учуган - Асаново	Учуган-Асаново
Семено - Макарово	Семено-Макарово
Имай - Кармалы	Имай-Кармалы
Кривле - Илюшкино	Кривле-Илюшкино
Чубар - Абдуллово	Чубар-Абдуллово
Муркозь - Омгинская	Муркозь-Омгинская
Абакано - перевозная	Абакано-Перевозная
Семёно - Красиловская	Семёно-Красиловская
Озеро - Красиловская	Озеро-Красиловская
Усть - Пристанская	Усть-Пристанская
Верх - Яминская	Верх-Яминская
Лубяное - Первое	Лубяное-Первое
Елань - Коленовская	Елань-Коленовская
Половино - Черемховская	Половино-Черемховская
Усть - Удинская	Усть-Удинская
Киреевское - Второе	Киреевское-Второе
Чув - Майданская	Чув-Майданская
Верх - Каргатская	Верх-Каргатская
Усть - Черновская	Усть-Черновская
Васильево - Петровская	Васильево-Петровская
Порт - Катоновская	Порт-Катоновская
Маныч - Балабинская	Маныч-Балабинская
Сухо - Сарматская	Сухо-Сарматская
Васильево - Ханжоновская	Васильево-Ханжоновская
Усть - Щербединская	Усть-Щербединская
Усть - Щербедино	Усть-Щербедино
Шило - Голицынская	Шило-Голицынская
Нижние Серги - 3	Нижние Серги-3
Вновь - Юрмытская	Вновь-Юрмытская
Тросна - Исаевская	Тросна-Исаевская
Карай - Салтыковская	Карай-Салтыковская
Покрово - Васильевская	Покрово-Васильевская
Осино - Гайская	Осино-Гайская
Усть - Каренгинская	Усть-Каренгинская
Соктуй - Милозанская	Соктуй-Милозанская
Пирово - Городищенская	Пирово-Городищенская
Спасско - Городищенская	Спасско-Городищенская
Усть - Утка	Усть-Утка
Усть - Портовская	Усть-Портовская
Иштии - Хем	Иштии-Хем
Усак - Кичу	Усак-Кичу
Ца - Веденская	Ца-Веденская
Средне - Курчалинская	Средне-Курчалинская
Виктория - Калининская	Виктория-Калининская
Нижне - Масловская	Нижне-Масловская
Вершино - Дарасунская	Вершино-Дарасунская
Татартстан	Татарстан
пгтДаровской	пгт Даровской
Покрово - Казацкая	Покрово-Казацкая
Социально - технологический	социально-технологический
гуманитарно - экономический	гуманитарно-экономический
социально- педагогический	социально-педагогический
Ростовский - на - Дону	Ростовский-на-Дону
Ростова–на-Дону	Ростова-на-Дону
бизнес - колледж	бизнес-колледж
Ново- Чечкабская	Ново-Чечкабская
Чувашско- Кищаковская	Чувашско-Кищаковская
центр Компетенций-Казанский	центр компетенций - Казанский
Покрово - Ситская	Покрово-Ситская
Кипчак – Аскарово	Кипчак-Аскарово
Ново – Кувинск	Ново-Кувинск
Червленно – Узловская	Червленно-Узловская
Ялхой – Мохковская	Ялхой-Мохковская
Корен – Беноевская	Корен-Беноевская
Чувашско – Дрожжановская	Чувашско-Дрожжановская
Гуманитарно - технический	гуманитарно-технический
Гуманитарно - инженерный	гуманитарно-инженерный
Промышленно – технологический	промышленно-технологический
торгово - экономический	торгово-экономический
Медвежье - Озёрская	Медвежье-Озёрская
муниципвального	муниципального
образовательное учреждения	образовательное учреждение
детейсирот	детей сирот
Автномного	автономного
АВТ0НОМНАЯ	автономная
Агенства	агентства
углебленным	углубленным
Галический	Галичский
Школап.	Школа п.
Пушкнский	Пушкинский
Муниципального арйона	муниципального района
обще-образовательное	общеобразовательное
Толпуховская редняя	Толпуховская средняя
Муниципаьлное	муниципальное
Мунициапальное	муниципальное
Муниципальноу	муниципальное
бюджтеное	бюджетное
учрежде-ние	учреждение
Образоватлеьный	Образовательный
обазовательное	образовательное
обшеобразовательня	общеобразовательная
об-щеобразователь-ная	общеобразовательная
обще-образовательное	общеобразовательное
образовтельное	образовательное
Хайбул-линский	Хайбуллинский
пгтКильмезь	пгт Кильмезь
школаим	школа им
аулаНижняя	аула Нижняя
Средняяагрошкола	средняя Агрошкола
Иванаегоровича	Ивана Егоровича
Чернятинскаяосновная	Чернятинская основная
Владимировскаясредняя	Владимировская средняя
Сменнаясредняя	сменная средняя
общекобразовательная	общеобразовательная
общеобразовтельная	общеобразовательная
обшеобразовательня	общеобразовательная
общеразовательное	общеобразовательное
Репсублики	Республики
Государственное бюджетно	Государственное бюджетное
Средняя общеобразовательной школа	средняя общеобразовательная школа
филиал Муниципального общеобразовательное	филиал муниципального общеобразовательного
школамуниципального	школа муниципального
Краснопольскаяобщеобразовательная	Краснопольская общеобразовательная
Высочиновскаяобщеобразовательная	Высочиновская общеобразовательная
Марковскаяобщеобразовательная	Марковская общеобразовательная
Леснополянскаяобщеобразовательная	Леснополянская общеобразовательная
Кризскаяобщеобразовательная	Кризская общеобразовательная
Школасабинского	школа Сабинского
учреждениеЛУГАНСКОЙНАРОДНОЙ	учреждение Луганской Народной
Марковскаяобщеобразовательная	Марковская общеобразовательная
Средняяшкола	средняя школа
Курячевскаяобщеобразовательная	Курячевская общеобразовательная
Леснополянскаяобщеобразовательная	Леснополянская общеобразовательная
Кризскаяобщеобразовательная	Кризская общеобразовательная
Средняяшкола	средняя школа
Ощеобразовательная	общеобразовательная
общеобразотвальная	общеобразовательная
общеобразовательгая	общеобразовательная
общеобразавательной	общеобразовательной
Татарстарн	Татарстан
средняяполная	средняя полная
Учрежттение	учреждение
образолвания	образования
образовтельное	образовательное
общеобразовательноеБ	общеобразовательное
СоколовскогоТетюшского	Соколовского Тетюшского
оющеобразовательное	общеобразовательное
Музыкальныйколледж	Музыкальный колледж
Муниципапльное	Муниципальное
оющеобразовательное	общеобразовательное
Торгово- экономический 	торгово-экономический
социально- экономический	социально-экономический
социально - экономический	 социально-экономический
Затогород	ЗАТО город
Музыкальныйколледж	Музыкальный колледж
областипрофессиональная	области профессиональная
областиГубернский	области Губернский
государсвенное	государственное
Государственное бюджетная образовательное учреждение	государственное бюджетное образовательное учреждение
Бюджетное профессиональное образовательной учреждение	Бюджетное профессиональное образовательное учреждение
Государственное Образовательное Учреждения	государственное образовательное учреждение
Агества	агентства
краямуниципального	края муниципального
Основаня школа	основная школа
Профессианального	профессионального
Средняя общеобразвательная	Средняя общеобразовательная
Школадетский	Школа детский
Зинченко по с.Глушицкий	Зинченко пос.Глушицкий	
Администрациипершотравневого	администрации Першотравневого
Автономноеобщеобразовательноеучреждение	автономное общеобразовательное учреждение
Алтаиского края	Алтайского края
Алтайског края	Алтайского края
Давлекановскии	Давлекановский
Санкт Петербургское	Санкт-Петербургское
районга	района
Негосудартсвенное	негосударственное
бюджтное	бюджетное
бюдженое	бюджетное
бюдждетное	бюджетное
бюджетнное	бюджетное
Бюджетногое	бюджетного
Бюждетного	бюджетного
Бюджетого	бюджетного
Вечернее\(сменное\)	Вечернее (сменное)
бюджетногообразовательного	бюджетного образовательного
бюджетному общеобразовательное	бюджетное общеобразовательное
бюджетному общеобразовательное	бюджетное общеобразовательное
Государственноебюджетноеобщеобразовательноеучреждение 	государственное бюджетное общеобразовательное учреждение
Государтсвенное	государственное
Государственноеобщеобразовательноеучреждение	государственное общеобразовательное учреждение
Госудаственного	Государственного	
Городскогоокруга	городского округа
Гороского округа	городского округа
Запорожскойобласти	Запорожской области
Дальнереченкого	Дальнереченского
Бюдетное	бюджетное
Республикп Башкортостан	Республики Башкортостан
Рсепублики Башкортостан	Республики Башкортостан
Бишкортостан	Башкортостан
Занчуринский район	Зианчуринский район
Куюр Газинский район	Куюргазинский район
Смоленсокй	Смоленской
Мензелиского	Мензелинского
Муницпального	муниципального
Муниципальноего	муниципального
Муниципаьного	муниципального
Муниципальноого	муниципального
Мцниципального	муниципального
Мунизипального	муниципального
Муиципального	муниципального
Муниципальногя	муниципального
муници-пального	муниципального
Муницапального	муниципального
Муницинального	муниципального
Муницальное	муниципальное
Мунициипальное	муниципальное
Муниуипальное	муниципальное
Мунципальное	муниципальное
Мунициальное	муниципальное
Муницпальное	муниципальное
Муницепальное	Муниципальное
муниципального район	муниципального района
Муниципальноебюджетное	муниципальное бюджетное
муниципальноеказенное	муниципальное казенное
Муниципальноеобразовательное	Муниципальное образовательное
Муниципальноеобщеобразовательное	Муниципальное общеобразовательное
Муниципальноеобщеобразовательноебюджетное	Муниципальное общеобразовательное бюджетное
Начельного	Начального
бюджетного общеобразовательное учреждения	бюджетного общеобразовательного учреждения
общеобразовательного учреждение	общеобразовательного учреждения
Общебразовательная	Общеобразовательная
Общеобразователная	Общеобразовательная
Общеобразовательнаяшкола	Общеобразовательная школа
Общеобразователное	Общеобразовательное
Общеобразовательноое	Общеобразовательное
общеобразова-тельное	общеобразовательное
общеобразоватеьное	общеобразовательное
общеобразовтельное	общеобразовательное
общеобразоваттельное	общеобразовательное
общеобщеобразовательное	общеобразовательное
ощеобразовательное	общеобразовательное
общобразовательное	общеобразовательное
Общеобразовательноая	общеобразовательная
Обеобразовательная	общеобразовательная
Основаня	Основная
Профессионая	Профессиональная
Основнаяобщеобразовательная	Основная общеобразовательная
Кабычевскаяобщеобразовательная	Кабычевская общеобразовательная
Казеное	казенное
Казёное	казённое
Казённоеобщеобразовательноеучреждение	Казённое общеобразовательное учреждение
Кировскогорайона	Кировского района
Константиновскаясредняя	Константиновская средняя
Богуславецкрасноармейскогомуниципального	Богуславец Красноармейского муниципального
Измайлихакрасноармейскогомуниципального	Измайлиха Красноармейского муниципального
Яркрасноармейскогомуниципального	Яр Красноармейского муниципального
Новопокровкакрасноармейскогомуниципального	Новопокровка Красноармейского муниципального
Мельничноекрасноармейскогомуниципального	Мельничное Красноармейского муниципального
Вострецовокрасноармейскогомуниципального	Вострецово Красноармейского муниципального
Коллежд	Колледж
Здравоохраения	Здравоохранения
Луганскойнародной	Луганской народной
Муниципальногорайона	Муниципального района
Мелитопольскогорайона	Мелитопольского района
МБОУСОШ	МБОУ СОШ
В (С) ОШ 	В(С)ОШ 
Надеждинскогорайона	Надеждинского района
Некоммереская	Некоммерческая
Организациии	Организации
об-щеобразовательная	общеобразовательная
Общеобразавательная	общеобразовательная
Общееобразовательной	общеобразовательной
Общеоразовательной	Общеобразовательной
Ообщеобразовательной	Общеобразовательной
Общебразовательное	общеобразовательное
Общеобрзовательное	общеобразовательное
Общеобразавательное	общеобразовательное
Обшеобразовательное	общеобразовательное
Общеобраховательное	общеобразовательное
Общеоразовательное	общеобразовательное
Общеобразовательеное	общеобразовательное
Общеообразовательное	общеобразовательное
Общеобразовательнное	общеобразовательное
Общеоразовательного	общеобразовательного
Общнобразовательного	общеобразовательного
Общеобразоваетльного	общеобразовательного
Общебразовательного	общеобразовательного
Общеобразовального	общеобразовательного
Общеобраовательного	общеобразовательного
Общелбразовательного	общеобразовательного
Общеобразовательноего	общеобразовательного
Общеобразоваетельного	общеобразовательного
Образоватльного	образовательного
образоваельного	образовательного
Образоватеьного	образовательного
Образованиельное учреждение	Образовательное учреждение
образовательногоучреждения	образовательного учреждения
окруа	округа
Пограничногомуниципального	Пограничного муниципального
Прфоессиональное	Профессиональное
Профессионнальное	Профессиональное
Профессиональноеобразовательное	профессиональное образовательное
Профнссионального	Профессионального
Прфессионального	Профессионального
Професионального	Профессионального
Профессинального	Профессионального
профессиоанльного	Профессионального
професиональная	профессиональная
медицинский Олледж	 медицинский колледж
Автомибильное	автомобильное
авономное	автономное
района Хворостянскии	района Хворостянский
РОКОССОВСКОГО К.К.ХУТОРА	Рокоссовского К.К. Хутора
Рйон	район
Раион	район
Раиона	района
Райое	район
Раойна	района
Районахабаровского	Района хабаровского
Републики	Республики
Ресрублики	Республики
Средного	Среднего
Средняяобщеобразовательная	средняя общеобразовательная
Средняяобщеобразовательная	средняя общеобразовательная
средняя общеобразовательное школа	средняя общеобразовательная школа
средняя общеобразовательного школа	средняя общеобразовательная школа
Сатовской области	 Саратовской области
Саратовскои области	Саратовской области
Ставропольсого	Ставропольского
среднегообщего	среднего общего
Успеновказавитинского	Успеновка Завитинского
Спасскогорайона	Спасского района
Уссурийскогогородского	Уссурийского городского
учреждениеЛуганской	учреждение Луганской
Учереждение	учреждение
Чреждение	учреждение
Учрждение	учреждение
Учруждение	учреждение
учредение	учреждение
учреждеие	учреждение
учрежедние	учреждение
Учрежденияе	учреждение
учрежде-ния	учреждения
учрежедния	учреждения
учреждениия	учреждения
учрежде-ния	учреждения
за-ведения	заведения
тарнспортный	транспортный
профссионального	профессионального
профессиоального	профессионального
учреждениеАлтышевская	учреждение Алтышевская
учреждениеБольшецильнинская	учреждение Большецильнинская
учреждениеБотаюртовская	учреждение Ботаюртовская
учреждениеГальчинская	учреждение Гальчинская
учреждениеГергинская	учреждение Гергинская
учреждениеЛуганской	учреждение Луганской
учреждениеЛихославльская	учреждение Лихославльская
учреждениеосновная	учреждение основная
Учреждениесредняя	Учреждение средняя
Учреждениегимназия	Учреждение гимназия
Учеждения	учреждения
Учрежедения	учреждения
Учрехдения	учреждения
Учереждения	учреждения
Учрежения	учреждения
Учреждениея	учреждения
Учреджения	учреждения
Учеждение	учреждение
Чуреждение	учреждение
учрежджение	учреждение
униципальное	муниципальное
Учебновоспитательный	Учебно-воспитательный
Шиловскаясредняя	Шиловская средняя
Хабавровский	Хабаровский
Индустриально - промышленный	индустриально-промышленный
механико - металлургический	механико-металлургический
Шкотовскогомуниципального	Шкотовского муниципального
Школас	Школа с
Школыимени	Школы имени
Органиции	Организации
общеобразовательне	общеобразовательное
Мунициапальное	муниципальное
среденяя	средняя
общеобразтельная	общеобразовательная
Государственное бюджетно	государственное бюджетное
общеобразоватлеьная	общеобразовательная
седняя	средняя
Среднияя	средняя
обще образовательное	общеобразовательное
професиональное	профессиональное
профессиональне	профессиональное
профессинальное	профессиональное
Промышленно - экономический	промышленно-экономический
Средняя общеобразовательная школы	Средняя общеобразовательная школа
коллдеж	колледж
филиал муниципального бюджетного общеобразовательное учреждение	филиал муниципального бюджетного общеобразовательного учреждения
